specialitate,numar,raspuns
asistenta-medicala-generala,1,a
asistenta-medicala-generala,2,c
asistenta-medicala-generala,3,b
asistenta-medicala-generala,4,c
asistenta-medicala-generala,5,b
asistenta-medicala-generala,6,c
asistenta-medicala-generala,7,b
asistenta-medicala-generala,8,a
asistenta-medicala-generala,9,c
asistenta-medicala-generala,10,a
asistenta-medicala-generala,11,c
asistenta-medicala-generala,12,c
asistenta-medicala-generala,13,c
asistenta-medicala-generala,14,a
asistenta-medicala-generala,15,c
asistenta-medicala-generala,16,c
asistenta-medicala-generala,17,c
asistenta-medicala-generala,18,b
asistenta-medicala-generala,19,a
asistenta-medicala-generala,20,b
asistenta-medicala-generala,21,c
asistenta-medicala-generala,22,a
asistenta-medicala-generala,23,b
asistenta-medicala-generala,24,c
asistenta-medicala-generala,25,b
asistenta-medicala-generala,26,b
asistenta-medicala-generala,27,a
asistenta-medicala-generala,28,c
asistenta-medicala-generala,29,c
asistenta-medicala-generala,30,a
asistenta-medicala-generala,31,b
asistenta-medicala-generala,32,b
asistenta-medicala-generala,33,a
asistenta-medicala-generala,34,b
asistenta-medicala-generala,35,c
asistenta-medicala-generala,36,c
asistenta-medicala-generala,37,b
asistenta-medicala-generala,38,b
asistenta-medicala-generala,39,c
asistenta-medicala-generala,40,a
asistenta-medicala-generala,41,c
asistenta-medicala-generala,42,a
asistenta-medicala-generala,43,b
asistenta-medicala-generala,44,a
asistenta-medicala-generala,45,c
asistenta-medicala-generala,46,b
asistenta-medicala-generala,47,b
asistenta-medicala-generala,48,c
asistenta-medicala-generala,49,a
asistenta-medicala-generala,50,b
asistenta-medicala-generala,51,c
asistenta-medicala-generala,52,b
asistenta-medicala-generala,53,c
asistenta-medicala-generala,54,b
asistenta-medicala-generala,55,b
asistenta-medicala-generala,56,b
asistenta-medicala-generala,57,b
asistenta-medicala-generala,58,a
asistenta-medicala-generala,59,a
asistenta-medicala-generala,60,c
asistenta-medicala-generala,61,a
asistenta-medicala-generala,62,a
asistenta-medicala-generala,63,a
asistenta-medicala-generala,64,c
asistenta-medicala-generala,65,b
asistenta-medicala-generala,66,a
asistenta-medicala-generala,67,b
asistenta-medicala-generala,68,c
asistenta-medicala-generala,69,a
asistenta-medicala-generala,70,a
asistenta-medicala-generala,71,b
asistenta-medicala-generala,72,a
asistenta-medicala-generala,73,b
asistenta-medicala-generala,74,b
asistenta-medicala-generala,75,a
asistenta-medicala-generala,77,c
asistenta-medicala-generala,78,b
asistenta-medicala-generala,79,b
asistenta-medicala-generala,80,b
asistenta-medicala-generala,81,b
asistenta-medicala-generala,82,a
asistenta-medicala-generala,83,a
asistenta-medicala-generala,84,b
asistenta-medicala-generala,85,a
asistenta-medicala-generala,86,a
asistenta-medicala-generala,87,a
asistenta-medicala-generala,88,b
asistenta-medicala-generala,89,a
asistenta-medicala-generala,90,c
asistenta-medicala-generala,91,c
asistenta-medicala-generala,92,b
asistenta-medicala-generala,93,b
asistenta-medicala-generala,94,a
asistenta-medicala-generala,95,b
asistenta-medicala-generala,96,b
asistenta-medicala-generala,97,b
asistenta-medicala-generala,98,c
asistenta-medicala-generala,99,a
asistenta-medicala-generala,100,c
