numar,raspuns
1,a
2,c
3,b
4,c
5,b
6,c
7,b
8,a
9,c
10,a
11,c
12,c
13,c
14,a
15,c
16,c
17,c
18,b
19,a
20,b
21,c
22,a
23,b
24,c
25,b
26,b
27,a
28,c
29,c
30,a
31,b
32,b
33,a
34,b
35,c
36,c
37,b
38,b
39,c
40,a
41,c
42,a
43,b
44,a
45,c
46,b
47,b
48,c
49,a
50,b
51,c
52,b
53,c
54,b
55,b
56,b
57,b
58,a
59,a
60,c
61,a
62,a
63,a
64,c
65,b
66,a
67,b
68,c
69,a
70,a
71,b
72,a
73,b
74,b
75,a
76,?
77,c
78,b
79,b
80,b
81,b
82,a
83,a
84,b
85,a
86,a
87,a
88,b
89,a
90,c
91,c
92,b
93,b
94,a
95,b
96,b
97,b
98,c
99,a
100,c
